a(t)_0,a(t)_1,a(t)_2,a(t)_3,v(t)_0,v(t)_1,v(t)_2,v(t)_3,x(t)_0,x(t)_1,x(t)_2,x(t)_3
0.40057966,1.019285791,0.956194616,0.246795931,0.000891083,0.004615589,0.01248523,0.002077081,4.29917E-06,2.80956E-05,8.14118E-05,8.43818E-06
0.601797271,0.477518035,1.062010603,0.123288296,0.000902843,0.004618006,0.012450334,0.00207216,4.31274E-06,2.81385E-05,8.14948E-05,8.47626E-06
-0.421683415,0.326388891,0.923037344,0.212200114,0.000898707,0.004607026,0.012414829,0.002066575,4.32636E-06,2.81809E-05,8.15755E-05,8.51394E-06
-0.273818111,0.106768019,0.894907528,-0.255726828,0.000877703,0.004588905,0.012376137,0.00205369,4.33943E-06,2.82224E-05,8.16539E-05,8.55106E-06
0.04925975,0.409207662,1.384246618,-0.309871846,0.000865843,0.00457241,0.012346379,0.002030773,4.35178E-06,2.82629E-05,8.17301E-05,8.5873E-06
-0.181374333,0.227489979,1.282919431,-0.224265723,0.000855801,0.004558266,0.012324113,0.002008528,4.36363E-06,2.83024E-05,8.18044E-05,8.62248E-06
0.259313488,-0.062133912,1.132095739,0.172588759,0.000849836,0.004535054,0.012296973,0.001995646,4.3751E-06,2.83408E-05,8.18769E-05,8.65679E-06
0.407626191,0.109186086,0.912383924,0.296039399,0.000855238,0.00450961,0.012262697,0.001992822,4.38649E-06,2.8378E-05,8.19474E-05,8.69061E-06
0.386542522,0.356433365,1.218759511,0.116163951,0.000863067,0.00449229,0.012230121,0.001988907,4.39806E-06,2.84139E-05,8.20157E-05,8.72412E-06
0.128896736,0.007687752,1.217622349,-0.054364357,0.000865489,0.004473042,0.012203452,0.001978237,4.40975E-06,2.84489E-05,8.2082E-05,8.75717E-06
0.080074342,0.077207159,1.131916187,0.841479209,0.00086199,0.004448447,0.012175113,0.001981569,4.42135E-06,2.84826E-05,8.21464E-05,8.78989E-06
0.434581969,0.408663597,1.250779621,0.652997553,0.000864388,0.004431634,0.012147422,0.001998508,4.43285E-06,2.85153E-05,8.22089E-05,8.82282E-06
0.599336578,0.555198415,0.859176678,0.293759609,0.00087678,0.00442406,0.012114482,0.002004816,4.44456E-06,2.85471E-05,8.22693E-05,8.85601E-06
0.737247259,0.407394112,0.679564813,0.648608957,0.000894954,0.004416456,0.012070559,0.002011002,4.45679E-06,2.85783E-05,8.23275E-05,8.88926E-06
0.848314012,0.35842827,0.665859009,0.900924739,0.000917856,0.004405053,0.012022976,0.002028853,4.46973E-06,2.86088E-05,8.23831E-05,8.9228E-06
0.055411483,0.357158785,0.704642244,0.491816384,0.000927528,0.004392689,0.011975955,0.002043604,4.48323E-06,2.86386E-05,8.24361E-05,8.95677E-06
-0.245408287,0.276697629,0.306216324,0.738831655,0.00091608,0.004378761,0.011922079,0.002055164,4.4966E-06,2.86675E-05,8.24863E-05,8.99107E-06
0.123192402,0.351778587,0.489060126,1.061080002,0.000905972,0.004364747,0.011864151,0.002077638,4.50948E-06,2.86956E-05,8.25335E-05,9.02583E-06
-0.267442678,0.449408014,0.757430536,0.823012908,0.000895468,0.004354078,0.011815036,0.002101641,4.52189E-06,2.87229E-05,8.25779E-05,9.0613E-06
-0.123548038,0.274219111,0.457937776,0.764536289,0.000880239,0.004341919,0.011765406,0.002119827,4.53372E-06,2.87494E-05,8.26197E-05,9.09738E-06
-0.061862928,0.127019324,0.082374813,0.528407017,0.00086902,0.004323558,0.011702854,0.002132254,4.54496E-06,2.8775E-05,8.26585E-05,9.13387E-06
0.228610745,0.349783683,0.294186339,0.56402874,0.000864621,0.004306686,0.011637281,0.002140758,4.55583E-06,2.87997E-05,8.26941E-05,9.17056E-06
0.326479233,0.328202441,0.50109011,0.966639692,0.000867717,0.004293719,0.011579922,0.002157661,4.56661E-06,2.88235E-05,8.27266E-05,9.20754E-06
0.444704367,0.265151362,0.86564055,0.158568049,0.000874959,0.004279134,0.011533695,0.002166674,4.57751E-06,2.88464E-05,8.27564E-05,9.24482E-06
0.779861995,0.009622205,0.593020742,0.296438363,0.000890908,0.00425843,0.011489317,0.002162722,4.58878E-06,2.88684E-05,8.27837E-05,9.28199E-06
0.932704611,0.063242826,0.380550858,0.603127142,0.000916199,0.004233875,0.011435661,0.002167336,4.60078E-06,2.88892E-05,8.28084E-05,9.31898E-06
0.49212864,0.085368132,0.363912372,0.352635192,0.000935848,0.004210836,0.011377694,0.002173,4.61356E-06,2.89088E-05,8.28302E-05,9.35597E-06
0.216475052,0.15821238,0.497319518,-0.093006801,0.000941616,0.004189678,0.011322098,0.002165212,4.62676E-06,2.89272E-05,8.28492E-05,9.39271E-06
-0.015277528,0.005209234,0.095661662,0.364547095,0.000937577,0.004167018,0.011261444,0.002157664,4.6399E-06,2.89446E-05,8.28652E-05,9.42896E-06
0.222962335,-0.162967277,-0.101965255,0.362723263,0.000933671,0.004138217,0.011189371,0.002158911,4.65282E-06,2.89606E-05,8.2878E-05,9.46489E-06
0.41545567,-0.14229281,-0.010872533,-0.385617876,0.000938073,0.004106644,0.011115416,0.002145679,4.66566E-06,2.89753E-05,8.28873E-05,9.50039E-06
-0.691856368,0.16915413,0.134444897,-0.227970382,0.000924821,0.004081554,0.011046197,0.002121093,4.67825E-06,2.89886E-05,8.28932E-05,9.53497E-06
0.016711487,0.024070152,-0.070483802,0.295127483,0.000903924,0.004059729,0.010975991,0.002109699,4.6901E-06,2.90007E-05,8.28958E-05,9.56866E-06
0.682776455,0.008050462,-0.051690691,-0.360426194,0.000909588,0.004034845,0.010902365,0.002095776,4.70159E-06,2.90116E-05,8.2895E-05,9.60167E-06
-0.187470142,0.404552885,-0.423722464,0.098495577,0.00091129,0.004017353,0.01082211,0.002078098,4.71314E-06,2.90215E-05,8.28906E-05,9.63388E-06
-0.512225748,0.34784923,-0.167382039,1.025686259,0.000889947,0.004006442,0.010739829,0.002087182,4.72423E-06,2.90306E-05,8.28825E-05,9.66574E-06
-0.34713559,0.184811109,0.20243526,0.711759146,0.000865596,0.003991305,0.010669827,0.002108038,4.73437E-06,2.90389E-05,8.28709E-05,9.69799E-06
-0.364919692,0.074668189,-0.110643602,0.614070135,0.000844164,0.003970926,0.010601087,0.002120871,4.74356E-06,2.90463E-05,8.2856E-05,9.73071E-06
0.145394567,0.246894962,-0.335861679,0.517521019,0.000832294,0.003951786,0.010522136,0.002129899,4.75203E-06,2.90527E-05,8.28377E-05,9.76366E-06
0.173245143,0.384059773,-0.056239342,0.240925471,0.000830833,0.003938648,0.010444436,0.002131687,4.76019E-06,2.90582E-05,8.28158E-05,9.79663E-06
